Calendar Year,ACARA SML ID,AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name
2019,49813,252,St Peter's College,ST PETERS,SA,5069,Independent,Combined,School Single Entity,Individual Reporting,-34.916908,138.618412,0,Major Cities,40106800000,40105101903,401051019,St Peters - Marden,40105,Norwood - Payneham - St Peters,401,Adelaide - Central and Hills,45290,Norwood Payneham St Peters (C)
2019,49814,377,St Peter's Collegiate Girls' School,STONYFELL,SA,5066,Independent,Combined,School Single Entity,Individual Reporting,-34.9295859,138.6695618,0,Major Cities,40020240000,40103101105,401031011,Burnside - Wattle Park,40103,Burnside,401,Adelaide - Central and Hills,40700,Burnside (C)
2019,49815,390,Scotch College - Torrens Park Campus,TORRENS PARK,SA,5062,Independent,Combined,School Head Campus,Rolled Reporting,-34.982544,138.615072,0,Major Cities,40089140000,40303106923,403031069,Mitcham (SA),40303,Mitcham,403,Adelaide - South,44340,Mitcham (C)
2019,49816,401,Walford Anglican School for Girls,HYDE PARK,SA,5061,Independent,Combined,School Single Entity,Individual Reporting,-34.957688,138.607888,0,Major Cities,40215261100,40107102305,401071023,Goodwood - Millswood,40107,Unley,401,Adelaide - Central and Hills,47980,Unley (C)
2019,49817,402,Westminster School,MARION,SA,5043,Independent,Combined,School Single Entity,Individual Reporting,-35.002183,138.552641,0,Major Cities,40215051800,40302106130,403021061,Mitchell Park,40302,Marion,403,Adelaide - South,44060,Marion (C)
2019,49818,404,Wilderness School,MEDINDIE,SA,5081,Independent,Combined,School Single Entity,Individual Reporting,-34.898444,138.608521,0,Major Cities,40215083600,40106102209,401061022,Walkerville,40106,Prospect - Walkerville,401,Adelaide - Central and Hills,48260,Walkerville (M)
2019,49819,13521,Willunga Waldorf School,WILLUNGA,SA,5172,Independent,Combined,School Single Entity,Individual Reporting,-35.269509,138.543829,0,Major Cities,40215071900,40304108802,403041088,Willunga,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49820,16031,Trinity College South,EVANSTON SOUTH,SA,5116,Independent,Combined,School Single Entity,Individual Reporting,-34.63490967,138.7317984,0,Major Cities,40215032400,40201102648,402011026,Gawler - South,40201,Gawler - Two Wells,402,Adelaide - North,42030,Gawler (T)
2019,49821,16029,Trinity College Blakeview,BLAKEVIEW,SA,5114,Independent,Combined,School Single Entity,Individual Reporting,-34.68915237,138.7022058,0,Major Cities,40130661000,40202102824,402021028,Craigmore - Blakeview,40202,Playford,402,Adelaide - North,45680,Playford (C)
2019,49822,16728,Harvest Christian College,KADINA,SA,5554,Independent,Combined,School Single Entity,Individual Reporting,-33.95761225,137.7114199,2,Outer Regional,40047660000,40504112401,405041124,Kadina,40504,Yorke Peninsula,405,Barossa - Yorke - Mid North,41560,Copper Coast (DC)
2019,49823,16879,Trinity College Gawler River,ANGLE VALE,SA,5117,Independent,Combined,School Single Entity,Individual Reporting,-34.63875672,138.6474334,0,Major Cities,40215298600,40202103209,402021032,Munno Para West - Angle Vale,40202,Playford,402,Adelaide - North,45680,Playford (C)
2019,49824,16724,Tyndale Christian School Murray Bridge,MURRAY BRIDGE,SA,5253,Independent,Combined,School Single Entity,Individual Reporting,-35.133389,139.245707,1,Inner Regional,40101040000,40703116529,407031165,Murray Bridge,40703,Murray and Mallee,407,South Australia - South East,45040,Murray Bridge (RC)
2019,49825,17261,Faith Lutheran College,TANUNDA,SA,5352,Independent,Combined,School Head Campus,Rolled Reporting,-34.52014,138.98404,1,Inner Regional,40214990700,40501111505,405011115,Tanunda,40501,Barossa,405,Barossa - Yorke - Mid North,40310,Barossa (DC)
2019,49826,8824,Golden Grove Lutheran Primary School,WYNN VALE,SA,5127,Independent,Primary,School Single Entity,Individual Reporting,-34.801095,138.687658,0,Major Cities,40186410000,40205105342,402051053,Modbury Heights,40205,Tea Tree Gully,402,Adelaide - North,47700,Tea Tree Gully (C)
2019,49827,5243,Immanuel Lutheran School,GAWLER EAST,SA,5118,Independent,Primary,School Single Entity,Individual Reporting,-34.59616434,138.7523043,0,Major Cities,40215093300,40201102612,402011026,Gawler - South,40201,Gawler - Two Wells,402,Adelaide - North,42030,Gawler (T)
2019,49828,5524,Our Saviour Lutheran School Happy Valley Incorporated,ABERFOYLE PARK,SA,5159,Independent,Primary,School Single Entity,Individual Reporting,-35.073891,138.589491,0,Major Cities,40120610000,40304107120,403041071,Aberfoyle Park,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49829,4230,St George College,MILE END,SA,5031,Independent,Combined,School Head Campus,Rolled Reporting,-34.922881,138.570108,0,Major Cities,40208380000,40403110805,404031108,Richmond (SA),40403,West Torrens,404,Adelaide - West,48410,West Torrens (C)
2019,49830,16030,Trinity College North,EVANSTON SOUTH,SA,5116,Independent,Combined,School Single Entity,Individual Reporting,-34.63396646,138.7352661,0,Major Cities,40215032400,40201102648,402011026,Gawler - South,40201,Gawler - Two Wells,402,Adelaide - North,42030,Gawler (T)
2019,49831,2629,St Martins Lutheran College,MOUNT GAMBIER,SA,5290,Independent,Combined,School Single Entity,Individual Reporting,-37.818588,140.79356,1,Inner Regional,40215041500,40702117312,407021173,Mount Gambier - East,40702,Limestone Coast,407,South Australia - South East,44620,Mount Gambier (C)
2019,49832,2611,Mount Barker Waldorf School,MOUNT BARKER,SA,5251,Independent,Combined,School Single Entity,Individual Reporting,-35.083141,138.877102,1,Inner Regional,40093122000,40102100739,401021007,Mount Barker,40102,Adelaide Hills,401,Adelaide - Central and Hills,44550,Mount Barker (DC)
2019,49833,265,Pembroke School - Middle School Campus,KENSINGTON PARK,SA,5068,Independent,Combined,School Head Campus,Rolled Reporting,-34.920945,138.650495,0,Major Cities,40018870000,40103101130,401031011,Burnside - Wattle Park,40103,Burnside,401,Adelaide - Central and Hills,40700,Burnside (C)
2019,49834,2601,Portside Christian College,NEW PORT,SA,5015,Independent,Combined,School Single Entity,Individual Reporting,-34.851379,138.495582,0,Major Cities,40416670000,40402109934,404021099,Largs Bay - Semaphore,40402,Port Adelaide - West,404,Adelaide - West,45890,Port Adelaide Enfield (C)
2019,49835,2606,Prescott College Southern,MORPHETT VALE,SA,5162,Independent,Combined,School Single Entity,Individual Reporting,-35.104906,138.543642,0,Major Cities,40215279800,40304108418,403041084,Morphett Vale - East,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49836,2605,Unity College,MURRAY BRIDGE,SA,5253,Independent,Combined,School Single Entity,Individual Reporting,-35.146912,139.2911806,1,Inner Regional,40214950300,40703116538,407031165,Murray Bridge,40703,Murray and Mallee,407,South Australia - South East,45040,Murray Bridge (RC)
2019,49837,2613,Waikerie Lutheran Primary School,WAIKERIE,SA,5330,Independent,Primary,School Single Entity,Individual Reporting,-34.186397,139.988812,2,Outer Regional,40068980000,40703117016,407031170,Waikerie,40703,Murray and Mallee,407,South Australia - South East,43790,Loxton Waikerie (DC)
2019,49838,2610,Emmaus Christian College,SOUTH PLYMPTON,SA,5038,Independent,Combined,School Single Entity,Individual Reporting,-34.971186,138.558631,0,Major Cities,40078370000,40302105808,403021058,Edwardstown,40302,Marion,403,Adelaide - South,44060,Marion (C)
2019,49839,2616,Torrens Valley Christian School,HOPE VALLEY,SA,5090,Independent,Combined,School Single Entity,Individual Reporting,-34.84301032,138.7008363,0,Major Cities,40191230000,40205105230,402051052,Hope Valley - Modbury,40205,Tea Tree Gully,402,Adelaide - North,47700,Tea Tree Gully (C)
2019,49841,2619,Southern Vales Christian College - Morphett Vale Campus,MORPHETT VALE,SA,5162,Independent,Combined,School Head Campus,Rolled Reporting,-35.112045,138.536621,0,Major Cities,40114830000,40304108416,403041084,Morphett Vale - East,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49842,2625,Good Shepherd Lutheran School - Para Vista,PARA VISTA,SA,5093,Independent,Primary,School Single Entity,Individual Reporting,-34.829033,138.667333,0,Major Cities,40174190000,40204104031,402041040,Ingle Farm,40204,Salisbury,402,Adelaide - North,47140,Salisbury (C)
2019,49843,2626,St Mark's Lutheran School,MOUNT BARKER,SA,5251,Independent,Primary,School Single Entity,Individual Reporting,-35.07277511,138.8614989,1,Inner Regional,40215056700,40102100710,401021007,Mount Barker,40102,Adelaide Hills,401,Adelaide - Central and Hills,44550,Mount Barker (DC)
2019,49844,4039,King's Baptist Grammar School,WYNN VALE,SA,5127,Independent,Combined,School Single Entity,Individual Reporting,-34.799045,138.676692,0,Major Cities,40186440000,40205105345,402051053,Modbury Heights,40205,Tea Tree Gully,402,Adelaide - North,47700,Tea Tree Gully (C)
2019,49845,2623,The Hills Montessori School - Yultiwirra Campus,ALDGATE,SA,5154,Independent,Combined,School Sub-Campus and Single entity,Rolled Reporting,-35.01289,138.74869,0,Major Cities,40004500000,40102100422,401021004,Aldgate - Stirling,40102,Adelaide Hills,401,Adelaide - Central and Hills,40120,Adelaide Hills (DC)
2019,49846,2622,Hope Christian College,CRAIGMORE,SA,5114,Independent,Combined,School Single Entity,Individual Reporting,-34.707556,138.706251,0,Major Cities,40130291000,40202102807,402021028,Craigmore - Blakeview,40202,Playford,402,Adelaide - North,45680,Playford (C)
2019,49847,2624,Bethany Christian School Incorporated,PARALOWIE,SA,5108,Independent,Primary,School Single Entity,Individual Reporting,-34.761412,138.60687,0,Major Cities,40169700000,40204104431,402041044,Paralowie,40204,Salisbury,402,Adelaide - North,47140,Salisbury (C)
2019,49848,28557,Navigator College,PORT LINCOLN,SA,5606,Independent,Combined,School Single Entity,Individual Reporting,-34.741841,135.860955,3,Remote,40155500000,40601113335,406011133,Port Lincoln,40601,Eyre Peninsula and South West,406,South Australia - Outback,46300,Port Lincoln (C)
2019,49849,2627,Pilgrim School,ABERFOYLE PARK,SA,5159,Independent,Primary,School Single Entity,Individual Reporting,-35.06805486,138.5950372,0,Major Cities,40120830000,40304107125,403041071,Aberfoyle Park,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49850,4046,Tyndale Christian School,SALISBURY EAST,SA,5109,Independent,Combined,School Single Entity,Individual Reporting,-34.774042,138.669964,0,Major Cities,40170506000,40204104737,402041047,Salisbury East,40204,Salisbury,402,Adelaide - North,47140,Salisbury (C)
2019,49851,5532,Pedare Christian College,GOLDEN GROVE,SA,5125,Independent,Combined,School Single Entity,Individual Reporting,-34.794746,138.692862,0,Major Cities,40185490000,40205104914,402051049,Golden Grove,40205,Tea Tree Gully,402,Adelaide - North,47700,Tea Tree Gully (C)
2019,49852,5529,Rivergum Christian College,GLOSSOP,SA,5344,Independent,Combined,School Single Entity,Individual Reporting,-34.263984,140.540191,2,Outer Regional,40017415000,40703115916,407031159,Barmera,40703,Murray and Mallee,407,South Australia - South East,40520,Berri and Barmera (DC)
2019,49853,14133,Horizon Christian School,BALAKLAVA,SA,5461,Independent,Combined,School Single Entity,Individual Reporting,-34.151782,138.413987,1,Inner Regional,40215001600,40502111907,405021119,Wakefield - Barunga West,40502,Lower North,405,Barossa - Yorke - Mid North,48130,Wakefield (DC)
2019,49854,15880,OneSchool Global SA - Aberfoyle Campus,ABERFOYLE PARK,SA,5159,Independent,Combined,School Head Campus,Rolled Reporting,-35.075078,138.589503,0,Major Cities,40119232000,40304107120,403041071,Aberfoyle Park,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49855,14290,Tatachilla Lutheran College,MCLAREN VALE,SA,5171,Independent,Combined,School Single Entity,Individual Reporting,-35.223254,138.521492,0,Major Cities,40215081600,40304108310,403041083,McLaren Vale,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49857,16101,Endeavour College,MAWSON LAKES,SA,5095,Independent,Secondary,School Single Entity,Individual Reporting,-34.812749,138.621874,0,Major Cities,40177710000,40204117101,402041171,Mawson Lakes - Globe Derby Park,40204,Salisbury,402,Adelaide - North,47140,Salisbury (C)
2019,49858,326,St John's Grammar School,BELAIR,SA,5052,Independent,Combined,School Head Campus,Rolled Reporting,-34.997653,138.631841,0,Major Cities,40085670000,40303106502,403031065,Belair,40303,Mitcham,403,Adelaide - South,44340,Mitcham (C)
2019,49859,307,St Andrew's School,WALKERVILLE,SA,5081,Independent,Primary,School Single Entity,Individual Reporting,-34.892871,138.61638,0,Major Cities,40204300000,40106102203,401061022,Walkerville,40106,Prospect - Walkerville,401,Adelaide - Central and Hills,48260,Walkerville (M)
2019,49860,378,St Peter's Woodlands Grammar School,GLENELG,SA,5045,Independent,Primary,School Single Entity,Individual Reporting,-34.983454,138.518341,0,Major Cities,40057450000,40301105735,403011057,Glenelg (SA),40301,Holdfast Bay,403,Adelaide - South,42600,Holdfast Bay (C)
2019,49861,17272,Encounter Lutheran College,VICTOR HARBOR,SA,5211,Independent,Combined,School Single Entity,Individual Reporting,-35.527711,138.636215,1,Inner Regional,40215154300,40701114824,407011148,Victor Harbor,40701,Fleurieu - Kangaroo Island,407,South Australia - South East,48050,Victor Harbor (C)
2019,49862,22798,Mid North Christian College,PORT PIRIE,SA,5540,Independent,Combined,School Single Entity,Individual Reporting,-33.208372,137.988656,2,Outer Regional,40158170000,40503112217,405031122,Port Pirie,40503,Mid North,405,Barossa - Yorke - Mid North,46450,Port Pirie City and Dists (M)
